Listing_ID,Title,Price,URL,Модел,Цена,Състояние,Тип,Произведено,Тип двигател,Мощност[к.с.],Скоростна кутия,Цвят,Пробег,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,
88929278,Mercedes-Benz C 300 * 4MATIC /LEATHER/PAN/ROOF/NAVI H/SEAT CAMERA,"41 700 лв. - 21 320,87 €Цената е с включено ДДС",https://www.auto.bg/obiava/88929278/mercedes-benz-c-300-4matic-leather-pan-roof-navi-h-seat-camera,Mercedes-Benz C 300,41 700 лв.,Употребяван,Седан,януари 2018 г.,Mercedes-Benz C 300 Бензин,241 к.с,Автоматична,,64231 км,,,,,,,,,,,,,,,
92115848,Mercedes-Benz CLA 250,"65 000 лв. - 33 233,97 €Цената е с включено ДДС",https://www.auto.bg/obiava/92115848/mercedes-benz-cla-250,Mercedes-Benz CLA 250,65 000 лв.,Употребяван,Седан,март 2020 г.,Mercedes-Benz CLA 250 Бензин,221 к.с,Автоматична,Жълт,84378 км,,,,,,,,,,,,,,,
48427762,Audi A8 4.2 TDI / ROTOR / БЕЗ АНАЛОГ,"49 990 лв. - 25 559,48 €Цената е с включено ДДС",https://www.auto.bg/obiava/48427762/audi-a8-4-2-tdi-rotor-bez-analog,Audi A8,49 990 лв.,Употребяван,Седан,април 2014 г.,Audi A8 Дизел,385 к.с,Автоматична,,276000 км,,,,,,,,,,,,,,,
58455258,Mercedes-Benz CLS 350 БЕЗ АНАЛОГ / 245.000 КМ / НАПЪЛНО ОБСЛУЖЕН,"28 500 лв. - 14 571,82 €Цената е с включено ДДС",https://www.auto.bg/obiava/58455258/mercedes-benz-cls-350-bez-analog-245-000-km-napalno-obsluzhen,Mercedes-Benz CLS 350,28 500 лв.,Употребяван,Седан,август 2011 г.,Mercedes-Benz CLS 350 Дизел,265 к.с,Автоматична,Тъмно сив,245000 км,,,,,,,,,,,,,,,
95342284,Nissan Armada * PLATINUM 7 PASS AWD LEATHER SUNROOF/NAV/CAMERA,"67 050 лв. - 34 282,12 €Цената е с включено ДДС",https://www.auto.bg/obiava/95342284/nissan-armada-platinum-7-pass-awd-leather-sunroof-nav-camera,Nissan Armada,67 050 лв.,Употребяван,Джип,януари 2023 г.,Nissan Armada Бензин,,Автоматична,,105908 км,,,,,,,,,,,,,,,
91979580,BMW 320 XDRIVE / 136.000 KM / 8 СТЕПЕННА СКОРОСТНА КУТИЯ,"38 500 лв. - 19 684,74 €Цената е с включено ДДС",https://www.auto.bg/obiava/91979580/bmw-320-xdrive-136-000-km-8-stepenna-skorostna-kutiya,BMW 320,38 500 лв.,Употребяван,Седан,март 2016 г.,BMW 320 Дизел,190 к.с,Автоматична,Черен,136000 км,,,,,,,,,,,,,,,
59218126,Audi Q5 * АВТО КРЕДИТ* ЦЕНА ДО БГ * CARFAX *,"26 999 лв. - 13 804,37 €Цената е с включено ДДС",https://www.auto.bg/obiava/59218126/audi-q5-avto-kredit-tsena-do-bg-carfax,Audi Q5,26 999 лв.,Употребяван,Джип,октомври 2018 г.,Audi Q5 Бензин,253 к.с,Автоматична,,159031 км,,,,,,,,,,,,,,,
77976463,Chevrolet Tahoe * PREMIER 7 PASS 4WD LEATHER SUNROOF NAVI CAMERA *,"53 150 лв. - 27 175,16 €Цената е с включено ДДС",https://www.auto.bg/obiava/77976463/chevrolet-tahoe-premier-7-pass-4wd-leather-sunroof-navi-camera,Chevrolet Tahoe,53 150 лв.,Употребяван,Джип,януари 2017 г.,Chevrolet Tahoe Бензин,,Автоматична,,131894 км,,,,,,,,,,,,,,,
33472358,Volvo XC60 * MOMENTUM AWD LEATHER PAN/ROOF NAV B/SPOT CAMERA,"40 650 лв. - 20 784,01 €Цената е с включено ДДС",https://www.auto.bg/obiava/33472358/volvo-xc60-momentum-awd-leather-pan-roof-nav-b-spot-camera,Volvo XC60,40 650 лв.,Употребяван,Джип,януари 2019 г.,Volvo XC60 Бензин,250 к.с,Автоматична,,105177 км,,,,,,,,,,,,,,,
28870640,Peugeot 508 За части face lift,"11 лв. - 5,62 €Не се начислява ДДС",https://www.auto.bg/obiava/28870640/peugeot-508-za-chasti-face-lift,Peugeot 508,11 лв.,Употребяван,Комби,януари 2017 г.,Peugeot 508 Дизел,,Автоматична,,122 км,,,,,,,,,,,,,,,
95448510,Infiniti QX80 * LIMITED * 8 PASS AWD LEATHER/SUNROOF,"45 550 лв. - 23 289,35 €Цената е с включено ДДС",https://www.auto.bg/obiava/95448510/infiniti-qx80-limited-8-pass-awd-leather-sunroof,Infiniti QX80,45 550 лв.,Употребяван,Джип,януари 2018 г.,Infiniti QX80 Бензин,,Автоматична,,119997 км,,,,,,,,,,,,,,,
57410879,Mercedes-Benz SL 500 R129,"52 000 лв. - 26 587,18 €Не се начислява ДДС",https://www.auto.bg/obiava/57410879/mercedes-benz-sl-500-r129,Mercedes-Benz SL 500,52 000 лв.,Употребяван,Кабрио,януари 1996 г.,Mercedes-Benz SL 500 Бензин,320 к.с,Автоматична,Син,165000 км,,,,,,,,,,,,,,,
67224814,Mercedes-Benz CLS 400,"57 500 лв. - 29 399,28 €Цената е с включено ДДС",https://www.auto.bg/obiava/67224814/mercedes-benz-cls-400,Mercedes-Benz CLS 400,57 500 лв.,Употребяван,Седан,ноември 2019 г.,Mercedes-Benz CLS 400 Дизел,340 к.с,Автоматична,,189388 км,,,,,,,,,,,,,,,
65615998,VW Golf,"49 997 лв. - 25 563,06 €Цената е с включено ДДС",https://www.auto.bg/obiava/65615998/vw-golf,VW Golf,49 997 лв.,Употребяван,Хечбек,април 2022 г.,VW Golf Дизел,150 к.с,Автоматична,,55078 км,,,,,,,,,,,,,,,
45349046,Mercedes-Benz E 63 AMG,"85 900 лв. - 43 919,97 €Цената е с включено ДДС",https://www.auto.bg/obiava/45349046/mercedes-benz-e-63-amg,Mercedes-Benz E 63 AMG,85 900 лв.,Употребяван,Седан,октомври 2018 г.,Mercedes-Benz E 63 AMG Бензин,612 к.с,Автоматична,,103588 км,,,,,,,,,,,,,,,
95579033,Toyota Land cruiser 3.0D-4D ИТАЛИЯ,"30 700 лв. - 15 696,66 €Не се начислява ДДС",https://www.auto.bg/obiava/95579033/toyota-land-cruiser-3-0d-4d-italiya,Toyota Land cruiser,30 700 лв.,Употребяван,Джип,септември 2006 г.,Toyota Land cruiser Дизел,166 к.с,Ръчна,Сив,237000 км,,,,,,,,,,,,,,,
32934532,Mercedes-Benz E 63 AMG,"36 700 лв. - 18 764,41 €Цената е с включено ДДС",https://www.auto.bg/obiava/32934532/mercedes-benz-e-63-amg,Mercedes-Benz E 63 AMG,36 700 лв.,Употребяван,Седан,август 2011 г.,Mercedes-Benz E 63 AMG Бензин,525 к.с,Автоматична,,157200 км,,,,,,,,,,,,,,,
22982552,VW Golf 1.4 турбо CNG,"17 500 лв. - 8 947,61 €Не се начислява ДДС",https://www.auto.bg/obiava/22982552/vw-golf-1-4-turbo-cng,VW Golf,17 500 лв.,Употребяван,Хечбек,октомври 2014 г.,VW Golf Бензин,110 к.с,Автоматична,Бял,146244 км,,,,,,,,,,,,,,,
19980300,Mitsubishi Space star 1.2 Invite,"22 500 лв. - 11 504,07 €Не се начислява ДДС",https://www.auto.bg/obiava/19980300/mitsubishi-space-star-1-2-invite,Mitsubishi Space star,22 500 лв.,Употребяван,Хечбек,юли 2021 г.,Mitsubishi Space star Бензин,71 к.с,Ръчна,Бял,10950 км,,,,,,,,,,,,,,,
86096339,"Hyundai Tucson 4х4, 2.0i","8 177 лв. - 4 180,83 €Не се начислява ДДС",https://www.auto.bg/obiava/86096339/hyundai-tucson-4h4-2-0i,Hyundai Tucson,8 177 лв.,Употребяван,Джип,юли 2006 г.,Hyundai Tucson Бензин,140 к.с,Ръчна,Светло сив,197000 км,,,,,,,,,,,,,,,
47477831,Mercedes-Benz S 350,"70 600 лв. - 36 097,21 €Цената е с включено ДДС",https://www.auto.bg/obiava/47477831/mercedes-benz-s-350,Mercedes-Benz S 350,70 600 лв.,Употребяван,Седан,септември 2018 г.,Mercedes-Benz S 350 Дизел,286 к.с,Автоматична,,141976 км,,,,,,,,,,,,,,,
20522682,"Honda Cr-v ALKANTARA, FACELIFT, AUTOMATIC","18 890 лв. - 9 658,30 €Не се начислява ДДС",https://www.auto.bg/obiava/20522682/honda-cr-v-alkantara-facelift-automatic,Honda Cr-v,18 890 лв.,Употребяван,Джип,юли 2011 г.,Honda Cr-v Бензин,150 к.с,Автоматична,Светло сив,200000 км,,,,,,,,,,,,,,,
